Vessel,Carrier,Voyage No.,Service,POD,ETA,Berthing,UpdateTime
sample,OOC,sample,sample,TYO,sample,sample,2022-07-04T21:40:31.636
OREA,OOC,025N / 026S,KTX1,TYO,NA,2022/06/28 07:13,2022-07-04T23:00:54.952
OOCL NEW ZEALAND,OOC,113N / 114S,KTX3,TYO,NA,2022/06/30 09:07,2022-07-04T23:00:54.952
OOCL NAGOYA,OOC,168N / 169S,KTX2,TYO,NA,2022/07/01 13:57,2022-07-04T23:00:54.952
CAPE ORIENT,OOC,116N / 117S,KTX1,TYO,NA,2022/07/10 09:00,2022-07-04T23:00:54.952
SINGAPORE,OOC,147N / 148S,KTX2,TYO,NA,2022/07/07 19:00,2022-07-04T23:00:54.952
VELA,OOC,269N / 270S,KTX3,TYO,NA,2022/07/08 09:00,2022-07-04T23:00:54.952
OOCL AUSTRALIA,OOC,224N /,KTX2,TYO,NA,2022/07/09 22:30,2022-07-04T23:00:54.952
OOCL JAKARTA,OOC,145N / 146S,KTX3,TYO,NA,2022/07/11,2022-07-04T23:00:54.952
WAN HAI 501,OOC,N225 / S226,KTX6,TYO,NA,2022/07/14,2022-07-04T23:00:54.952
OOCL DALIAN,OOC,673N / 674S,KTX6,TYO,NA,2022/07/16,2022-07-04T23:00:54.952
OOCL SAVANNAH,OOC,421N / 422S,KTX2,TYO,NA,2022/07/14,2022-07-04T23:00:54.952
AKITETA,OOC,007N / 008S,KTX1,TYO,NA,2022/07/14,2022-07-04T23:00:54.952
OOCL NAGOYA,OOC,169N / 170S,KTX2,TYO,NA,2022/07/21,2022-07-04T23:00:54.952
WAN HAI 510,OOC,N154 / S155,KTX6,TYO,NA,2022/07/23,2022-07-04T23:00:54.952
OOCL ZHOUSHAN,OOC,244N / 245S,KTX3,TYO,NA,2022/07/18,2022-07-04T23:00:54.952
OREA,OOC,026N / 027S,KTX1,TYO,NA,2022/07/21,2022-07-04T23:00:54.952
OREA,OOC,025N / 026S,KTX1,YOK,NA,2022/06/29 01:20,2022-07-04T23:00:54.952
OOCL NAGOYA,OOC,168N / 169S,KTX2,YOK,NA,2022/07/02 18:40,2022-07-04T23:00:54.952
SINGAPORE,OOC,147N / 148S,KTX2,YOK,NA,2022/07/08 08:00,2022-07-04T23:00:54.952
OOCL AUSTRALIA,OOC,224N /,KTX2,YOK,NA,2022/07/09 13:00,2022-07-04T23:00:54.952
CAPE ORIENT,OOC,116N / 117S,KTX1,YOK,NA,2022/07/10 22:00,2022-07-04T23:00:54.952
WAN HAI 501,OOC,N225 / S226,KTX6,YOK,NA,2022/07/13,2022-07-04T23:00:54.952
AKITETA,OOC,007N / 008S,KTX1,YOK,NA,2022/07/14,2022-07-04T23:00:54.952
OOCL DALIAN,OOC,673N / 674S,KTX6,YOK,NA,2022/07/15,2022-07-04T23:00:54.952
OOCL SAVANNAH,OOC,421N / 422S,KTX2,YOK,NA,2022/07/15,2022-07-04T23:00:54.952
OREA,OOC,026N / 027S,KTX1,YOK,NA,2022/07/21,2022-07-04T23:00:54.952
OOCL NAGOYA,OOC,169N / 170S,KTX2,YOK,NA,2022/07/22,2022-07-04T23:00:54.952
WAN HAI 510,OOC,N154 / S155,KTX6,YOK,NA,2022/07/22,2022-07-04T23:00:54.952
OREA,OOC,025N / 026S,KTX1,OSA,NA,2022/07/01 18:29,2022-07-04T23:00:54.952
OOCL NAGOYA,OOC,168N / 169S,KTX2,OSA,NA,2022/06/28 18:15,2022-07-04T23:00:54.952
OOCL AUSTRALIA,OOC,224N /,KTX2,OSA,NA,2022/07/07 13:00,2022-07-04T23:00:54.952
SINGAPORE,OOC,147N / 148S,KTX2,OSA,NA,2022/07/05 19:30,2022-07-04T23:00:54.952
WAN HAI 501,OOC,N225 / S226,KTX6,OSA,NA,2022/07/09,2022-07-04T23:00:54.952
